person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
22,59000,RENT,123,PERSONAL,D,35000,16.02,1,0.59,Y,3
21,9600,OWN,5,EDUCATION,B,1000,11.14,0,0.1,N,2
25,9600,MORTGAGE,1,MEDICAL,C,5500,12.87,1,0.57,N,3
23,65500,RENT,4,MEDICAL,C,35000,15.23,1,0.53,N,2
24,54400,RENT,8,MEDICAL,C,35000,14.27,1,0.55,Y,4
21,9900,OWN,2,VENTURE,A,2500,7.14,1,0.25,N,2
26,77100,RENT,8,EDUCATION,B,35000,12.42,1,0.45,N,3
24,78956,RENT,5,MEDICAL,B,35000,11.11,1,0.44,N,4
24,83000,RENT,8,PERSONAL,A,35000,8.9,1,0.42,N,2
21,10000,OWN,6,VENTURE,D,1600,14.74,1,0.16,N,3
22,85000,RENT,6,VENTURE,B,35000,10.37,1,0.41,N,4
21,10000,OWN,2,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2
23,95000,RENT,2,VENTURE,A,35000,7.9,1,0.37,N,2
26,108160,RENT,4,EDUCATION,E,35000,18.39,1,0.32,N,4
23,115000,RENT,2,EDUCATION,A,35000,7.9,0,0.3,N,4
23,500000,MORTGAGE,7,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3
23,120000,RENT,0,EDUCATION,A,35000,7.9,0,0.29,N,4
23,92111,RENT,7,MEDICAL,F,35000,20.25,1,0.32,N,4
23,113000,RENT,8,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4
24,10800,MORTGAGE,8,EDUCATION,B,1750,10.99,1,0.16,N,2
25,162500,RENT,2,VENTURE,A,35000,7.49,0,0.22,N,4
25,137000,RENT,9,PERSONAL,E,34800,16.77,0,0.25,Y,2
22,65000,RENT,4,EDUCATION,D,34000,17.58,1,0.52,N,4
24,10980,OWN,0,PERSONAL,A,1500,7.29,0,0.14,N,3
22,80000,RENT,3,PERSONAL,D,33950,14.54,1,0.42,Y,4
24,67746,RENT,8,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3
21,11000,MORTGAGE,3,VENTURE,E,4575,17.74,1,0.42,Y,3
23,11000,OWN,0,PERSONAL,A,1400,9.32,0,0.13,N,3
24,65000,RENT,6,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3
21,11389,OTHER,5,EDUCATION,C,4000,12.84,1,0.35,Y,2
21,11520,OWN,5,MEDICAL,B,2000,11.12,1,0.17,N,3
25,120000,RENT,2,VENTURE,A,32000,6.62,0,0.27,N,2
26,95000,RENT,7,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3
25,306000,RENT,2,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3
26,300000,MORTGAGE,10,MEDICAL,C,7800,13.49,0,0.03,N,4
21,12000,OWN,5,EDUCATION,A,2500,7.51,1,0.21,N,4
22,48000,RENT,1,EDUCATION,E,30000,18.39,1,0.63,N,2
24,64000,RENT,8,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3
25,75000,RENT,4,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4
23,71500,RENT,3,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4
26,62050,RENT,6,MEDICAL,E,30000,17.99,1,0.41,N,2
24,12000,OWN,4,VENTURE,B,2500,12.69,1,0.21,N,3
26,300000,MORTGAGE,10,VENTURE,A,20000,7.88,0,0.07,N,4
23,300000,OWN,1,EDUCATION,F,24250,19.41,0,0.08,Y,2
26,300000,OWN,9,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4
26,300000,MORTGAGE,0,EDUCATION,D,25000,15.33,0,0.08,N,3
25,300000,MORTGAGE,9,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3
26,80690,RENT,8,PERSONAL,A,30000,7.49,1,0.37,N,3
22,66300,RENT,4,MEDICAL,B,30000,12.69,1,0.38,N,3
26,89028,RENT,0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3
24,78000,RENT,4,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4
23,78000,RENT,7,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3
23,92004,RENT,6,PERSONAL,C,30000,15.23,1,0.33,Y,3
23,97000,RENT,7,VENTURE,B,30000,10.65,1,0.31,N,2
25,120000,RENT,9,EDUCATION,A,30000,7.9,0,0.25,N,4
26,280000,RENT,4,PERSONAL,C,10000,15.96,0,0.04,Y,3
26,277104,RENT,0,VENTURE,B,20000,11.48,0,0.07,N,3
23,277000,OWN,3,PERSONAL,A,35000,,0,0.13,N,4
25,128000,RENT,9,PERSONAL,A,30000,7.29,0,0.23,N,4
24,12000,OWN,2,VENTURE,E,1750,,0,0.15,Y,3
21,131000,RENT,0,VENTURE,A,30000,5.99,0,0.23,N,4
22,275000,OWN,6,VENTURE,B,12000,11.58,0,0.04,N,2
26,263000,MORTGAGE,0,EDUCATION,B,10000,,1,0.04,N,4
25,221850,MORTGAGE,9,MEDICAL,D,25000,15.7,1,0.1,N,2
22,70000,RENT,6,EDUCATION,D,29100,15.99,1,0.42,N,3
22,12000,MORTGAGE,7,EDUCATION,D,1500,14.84,0,0.13,Y,3
26,260000,OWN,10,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3
25,259000,MORTGAGE,9,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2
24,255000,MORTGAGE,9,EDUCATION,A,9600,6.99,0,0.04,N,2
25,250000,RENT,2,MEDICAL,C,25000,13.49,0,0.1,N,4
25,12000,OWN,0,MEDICAL,C,3000,,1,0.25,N,3
22,56950,RENT,6,MEDICAL,A,28000,,1,0.49,N,2
21,12000,OWN,6,EDUCATION,C,3000,13.61,1,0.25,Y,3
23,65000,RENT,2,EDUCATION,A,28000,7.9,1,0.43,N,2
26,85000,RENT,2,VENTURE,A,28000,7.49,1,0.33,N,3
26,12000,OWN,2,EDUCATION,A,6100,7.51,1,0.51,N,3
22,88000,RENT,6,VENTURE,B,28000,9.91,1,0.32,N,3
21,12000,OWN,0,PERSONAL,C,4200,13.48,1,0.35,Y,4
22,12000,OWN,6,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2
24,83004,RENT,0,VENTURE,D,28000,15.99,1,0.34,Y,4
24,250000,RENT,2,EDUCATION,C,18000,12.98,0,0.07,Y,3
144,250000,RENT,4,VENTURE,C,4800,13.57,0,0.02,N,3
25,100000,RENT,5,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3
26,110000,RENT,10,EDUCATION,A,28000,8.9,0,0.25,N,2
26,12000,OWN,0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4
22,108000,RENT,6,EDUCATION,B,28000,,1,0.26,N,4
23,151200,RENT,7,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2
24,69000,RENT,2,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2
21,12000,MORTGAGE,5,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3
22,70000,RENT,4,EDUCATION,C,27500,13.06,1,0.39,Y,3
22,240000,OWN,6,PERSONAL,B,25000,,0,0.1,N,2
26,73200,RENT,5,VENTURE,D,27050,15.62,1,0.37,Y,2
24,83000,RENT,5,PERSONAL,C,27000,13.49,1,0.33,Y,2
24,73399,RENT,0,VENTURE,D,27000,,1,0.37,N,3
23,62500,RENT,7,MEDICAL,B,26000,11.71,1,0.42,N,2
23,120000,RENT,1,EDUCATION,B,25600,12.69,0,0.21,N,3
24,12360,OWN,2,MEDICAL,C,1600,13.57,0,0.13,N,3
22,60000,RENT,0,VENTURE,B,25475,10.99,1,0.42,N,3
25,234000,MORTGAGE,3,MEDICAL,C,20000,14.27,0,0.09,Y,4
24,234000,OWN,8,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4
26,234000,MORTGAGE,10,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3
25,221004,MORTGAGE,6,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3
26,232500,MORTGAGE,0,MEDICAL,C,25000,14.17,0,0.11,Y,2
25,230000,MORTGAGE,5,MEDICAL,C,35000,13.99,0,0.15,N,4
23,83000,RENT,7,EDUCATION,B,25300,10.99,1,0.3,N,3
22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,N,4
25,12600,OWN,3,PERSONAL,C,1750,13.61,0,0.14,N,3
21,42500,RENT,3,EDUCATION,C,25000,12.73,1,0.59,Y,3
24,41000,RENT,2,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3
25,12816,OWN,0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4
24,12960,MORTGAGE,1,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3
26,226000,MORTGAGE,4,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4
25,225000,MORTGAGE,0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2
26,213000,MORTGAGE,6,EDUCATION,B,35000,10.65,1,0.16,N,2
24,225000,RENT,0,MEDICAL,B,6000,,0,0.03,N,4
24,12960,MORTGAGE,0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4
23,12996,OWN,0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2
22,42000,RENT,6,MEDICAL,D,25000,14.59,1,0.6,Y,2
26,48000,RENT,2,EDUCATION,B,25000,9.64,1,0.52,N,4
25,12996,OWN,1,MEDICAL,D,3600,14.59,1,0.28,N,3
22,12996,OWN,1,EDUCATION,B,4750,,1,0.37,N,3
25,42360,RENT,1,EDUCATION,E,25000,16.35,1,0.59,Y,3
21,49000,RENT,4,EDUCATION,B,25000,10.99,1,0.51,N,2
25,225000,MORTGAGE,0,VENTURE,F,25000,18.67,0,0.11,N,2
26,225000,RENT,1,EDUCATION,A,3000,9.32,0,0.01,N,4
23,225000,RENT,8,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2
26,225000,MORTGAGE,2,VENTURE,B,25000,10.08,0,0.11,N,2
22,49464,RENT,5,PERSONAL,B,25000,11.83,1,0.51,N,3
23,50000,RENT,1,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3
25,50000,RENT,4,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2
24,44000,RENT,2,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2
23,50000,RENT,1,VENTURE,B,25000,11.83,1,0.5,N,4
22,50004,RENT,0,VENTURE,B,25000,10.36,1,0.5,N,2
22,50004,RENT,3,VENTURE,C,25000,12.23,1,0.5,N,3
22,52000,RENT,2,EDUCATION,B,25000,11.11,1,0.48,N,4
23,13200,OWN,3,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4
24,220000,MORTGAGE,1,EDUCATION,B,25000,11.58,0,0.11,N,2
23,216000,MORTGAGE,5,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3
25,216000,MORTGAGE,2,EDUCATION,D,25000,16.07,0,0.12,N,3
26,216000,MORTGAGE,10,EDUCATION,C,20000,14.22,0,0.09,Y,2
23,215000,MORTGAGE,7,MEDICAL,C,35000,14.79,0,0.16,Y,3
26,215000,MORTGAGE,11,EDUCATION,A,12000,7.88,0,0.06,N,2
23,52000,RENT,1,PERSONAL,C,25000,13.22,1,0.48,N,2
26,46000,RENT,2,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4
22,53000,RENT,5,EDUCATION,C,25000,13.43,1,0.47,Y,4
26,47000,RENT,0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2
23,47000,RENT,1,VENTURE,E,25000,17.93,1,0.53,N,2
23,13200,MORTGAGE,2,EDUCATION,B,1400,9.25,0,0.11,N,4
21,13200,OWN,0,VENTURE,C,4500,12.98,1,0.34,N,4
22,210000,MORTGAGE,6,VENTURE,B,16000,10.62,0,0.08,N,4
26,210000,OWN,10,PERSONAL,B,22000,11.83,0,0.1,N,4
26,48000,RENT,5,VENTURE,F,25000,18.43,1,0.52,N,2
22,54996,RENT,6,EDUCATION,B,25000,,1,0.45,N,4
24,55000,RENT,4,HOMEIMPROVEMENT,D,25000,,1,0.45,Y,4
23,55000,RENT,4,EDUCATION,B,25000,11.36,1,0.45,N,3
23,55000,RENT,4,EDUCATION,D,25000,15.65,1,0.45,Y,3
24,55164,RENT,8,PERSONAL,C,25000,13.22,1,0.45,Y,4
26,56000,RENT,4,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2
24,203500,OWN,8,MEDICAL,C,20000,13.04,0,0.1,N,3
23,190000,MORTGAGE,5,EDUCATION,F,22000,17.58,1,0.12,Y,3
23,13920,OWN,2,PERSONAL,E,7750,17.04,1,0.56,N,4
24,60000,RENT,0,PERSONAL,B,25000,10.99,1,0.42,N,3
24,60000,RENT,2,PERSONAL,B,25000,11.11,1,0.42,N,3
26,54000,RENT,7,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2
23,14000,OWN,2,DEBTCONSOLIDATION,D,4000,,1,0.29,N,3
24,200000,RENT,8,MEDICAL,B,12000,12.69,0,0.06,N,2
24,200000,MORTGAGE,8,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2
21,200000,MORTGAGE,5,EDUCATION,C,16000,14.65,0,0.08,N,4
25,54000,RENT,3,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4
23,60000,RENT,3,PERSONAL,C,25000,12.73,1,0.42,N,3
23,60000,RENT,7,PERSONAL,B,25000,10.25,1,0.42,N,4
21,60000,RENT,6,EDUCATION,B,25000,10.99,1,0.42,N,4
25,61959,RENT,9,MEDICAL,C,25000,12.73,1,0.4,N,2
22,56400,RENT,2,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3
23,200000,MORTGAGE,7,EDUCATION,A,28000,,0,0.14,N,2
21,200000,MORTGAGE,2,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2
24,200000,MORTGAGE,3,VENTURE,A,24000,7.49,0,0.12,N,4
26,200000,MORTGAGE,4,EDUCATION,C,15000,14.79,0,0.07,N,3
25,200000,MORTGAGE,2,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2
24,200000,RENT,8,EDUCATION,A,10000,8.49,0,0.05,N,4
24,66000,RENT,3,EDUCATION,B,25000,9.91,1,0.38,N,2
22,66000,RENT,6,EDUCATION,C,25000,13.06,1,0.38,Y,3
22,200000,MORTGAGE,6,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4
144,200000,MORTGAGE,4,EDUCATION,B,6000,11.86,0,0.03,N,2
25,200000,RENT,5,EDUCATION,D,18000,16.32,0,0.09,N,3
25,200000,MORTGAGE,2,VENTURE,B,12000,10.38,0,0.06,N,2
25,200000,MORTGAGE,9,PERSONAL,C,23050,14.35,0,0.12,N,3
24,200000,MORTGAGE,8,DEBTCONSOLIDATION,B,20000,,0,0.1,N,3
24,60000,RENT,2,DEBTCONSOLIDATION,E,25000,,1,0.42,Y,2
21,14400,OWN,0,HOMEIMPROVEMENT,B,3000,,1,0.21,N,4
26,66996,RENT,10,PERSONAL,D,25000,15.21,1,0.37,Y,2
23,67000,RENT,3,EDUCATION,A,25000,7.9,1,0.37,N,4
24,67000,RENT,2,VENTURE,B,25000,10.99,1,0.37,N,3
24,68000,RENT,5,PERSONAL,D,25000,14.09,1,0.37,Y,3
25,69000,RENT,9,PERSONAL,D,25000,17.49,1,0.36,N,2
25,200000,MORTGAGE,0,EDUCATION,B,12000,11.48,0,0.06,N,3
26,188000,MORTGAGE,10,VENTURE,E,20000,17.74,1,0.11,N,2
26,200000,MORTGAGE,4,PERSONAL,C,3000,13.92,0,0.01,N,3
25,69996,RENT,9,EDUCATION,D,25000,15.21,1,0.36,N,3
22,14400,OWN,2,MEDICAL,B,4000,10.99,1,0.28,N,3
24,70000,RENT,3,EDUCATION,B,25000,11.86,1,0.36,N,4
24,14400,OWN,5,PERSONAL,A,6000,7.49,1,0.42,N,3
24,56100,RENT,7,MEDICAL,D,25000,16.49,1,0.38,N,4
25,66000,RENT,9,VENTURE,D,25000,15.33,1,0.38,Y,2
26,66000,RENT,3,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4
25,14400,OWN,7,EDUCATION,A,5375,5.79,1,0.37,N,2
25,72612,RENT,9,MEDICAL,C,25000,13.11,1,0.34,N,2
23,74000,RENT,3,MEDICAL,B,25000,10.36,1,0.34,N,3
25,75000,RENT,9,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2
24,192000,RENT,0,MEDICAL,C,22000,,0,0.11,Y,2
21,192000,MORTGAGE,123,VENTURE,A,20000,6.54,0,0.1,N,4
25,191000,MORTGAGE,1,MEDICAL,B,10000,12.53,0,0.05,N,4
26,190300,MORTGAGE,5,PERSONAL,A,15000,,0,0.08,N,3
22,190000,MORTGAGE,3,VENTURE,C,10000,,0,0.05,N,3
24,75000,RENT,4,EDUCATION,B,25000,10.25,1,0.33,N,4
22,71000,RENT,1,EDUCATION,D,25000,15.95,1,0.35,Y,4
26,190000,MORTGAGE,3,VENTURE,B,20000,12.18,0,0.11,N,4
23,189996,OWN,0,PERSONAL,B,24000,11.83,0,0.13,N,3
23,78000,RENT,7,DEBTCONSOLIDATION,C,25000,,1,0.32,Y,2
23,78000,RENT,1,VENTURE,B,25000,10.62,1,0.32,N,3
23,78504,RENT,7,VENTURE,B,25000,10.74,1,0.32,N,3
25,186000,OWN,9,VENTURE,B,10000,10.25,0,0.05,N,4
24,185000,MORTGAGE,,EDUCATION,B,35000,12.42,0,0.19,N,2
25,185000,RENT,6,VENTURE,C,15000,15.27,0,0.08,N,2
24,62050,RENT,8,MEDICAL,D,25000,15.33,1,0.34,Y,2
23,79416,RENT,7,VENTURE,D,25000,15.21,1,0.31,Y,2
21,14400,OWN,4,VENTURE,C,6250,14.72,1,0.43,N,2
24,79631,RENT,8,PERSONAL,D,25000,15.7,1,0.31,Y,2
24,79632,RENT,0,EDUCATION,C,25000,13.35,1,0.31,N,4
21,14400,MORTGAGE,0,MEDICAL,C,1500,,0,0.1,N,4
24,80000,RENT,6,EDUCATION,A,25000,6.62,1,0.31,N,2
26,80000,RENT,5,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4
22,185000,RENT,4,MEDICAL,B,25000,11.36,0,0.14,N,2
26,185000,OWN,10,PERSONAL,A,5000,7.68,0,0.03,N,2
24,184992,RENT,7,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4
23,184000,OWN,5,EDUCATION,B,2500,11.83,0,0.01,N,2
24,172000,MORTGAGE,6,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4
24,183000,MORTGAGE,2,MEDICAL,B,20000,11.49,0,0.11,N,3
22,183000,MORTGAGE,3,EDUCATION,A,1000,,0,0.01,N,2
25,182952,MORTGAGE,9,PERSONAL,A,15000,6.03,0,0.08,N,3
23,74004,RENT,7,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4
26,74004,RENT,10,DEBTCONSOLIDATION,D,25000,,1,0.34,Y,4
25,81000,RENT,5,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3
23,81600,RENT,1,MEDICAL,B,25000,11.36,1,0.31,N,3
24,82000,RENT,8,VENTURE,B,25000,10.25,0,0.3,N,2
24,83000,RENT,5,EDUCATION,B,25000,11.12,0,0.3,N,3
24,83000,RENT,5,PERSONAL,D,25000,12.92,0,0.3,Y,3
24,180000,RENT,8,EDUCATION,E,18000,18.64,0,0.1,Y,4
23,180000,MORTGAGE,8,PERSONAL,A,28000,7.51,0,0.16,N,3
23,14400,OWN,2,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2
22,14400,OWN,0,PERSONAL,B,2100,11.14,0,0.15,N,4
22,84500,RENT,6,PERSONAL,F,25000,18.3,0,0.3,N,4
24,85000,RENT,5,MEDICAL,B,25000,10.62,0,0.29,N,4
24,180000,MORTGAGE,7,VENTURE,B,14000,11.99,0,0.08,N,2
26,180000,MORTGAGE,2,VENTURE,B,12000,9.63,0,0.07,N,4
25,142800,MORTGAGE,9,MEDICAL,F,10000,18.25,1,0.06,N,4
23,14664,MORTGAGE,0,DEBTCONSOLIDATION,C,6000,,1,0.41,N,4
24,87000,RENT,8,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3
24,75000,RENT,0,VENTURE,E,25000,14.7,1,0.33,Y,3
23,76000,RENT,7,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4
23,66215,RENT,1,MEDICAL,D,25000,15.37,1,0.32,Y,2
25,90000,RENT,9,MEDICAL,B,25000,10.99,0,0.28,N,4
21,15000,OWN,0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2
26,180000,OWN,2,PERSONAL,B,25000,10.99,0,0.14,N,4
24,180000,OWN,8,EDUCATION,B,21000,11.48,0,0.12,N,3
25,180000,OWN,9,MEDICAL,C,20000,14.26,0,0.11,Y,4
26,180000,OWN,0,HOMEIMPROVEMENT,A,10000,8,0,0.06,N,4
25,180000,MORTGAGE,3,VENTURE,B,9950,11.26,0,0.06,N,2
23,15000,OWN,7,MEDICAL,B,4475,,1,0.3,N,4
23,78000,RENT,2,VENTURE,D,25000,16.32,1,0.32,Y,3
25,66300,RENT,3,MEDICAL,E,25000,17.93,1,0.32,Y,4
23,90000,RENT,0,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,N,3
24,79000,RENT,9,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,Y,4
24,91800,RENT,4,PERSONAL,C,25000,13.43,0,0.27,Y,3
25,92000,RENT,6,HOMEIMPROVEMENT,B,25000,12.69,0,0.27,N,3
24,92000,RENT,1,VENTURE,C,25000,12.73,0,0.27,Y,4
23,93600,RENT,3,VENTURE,D,25000,15.21,0,0.27,N,4
23,15000,MORTGAGE,1,MEDICAL,C,1750,12.68,0,0.12,Y,3
23,70550,RENT,3,MEDICAL,F,25000,19.04,1,0.3,Y,4
25,83800,RENT,2,DEBTCONSOLIDATION,D,25000,15.95,1,0.3,Y,3
26,175000,MORTGAGE,3,VENTURE,A,2600,8.9,0,0.01,N,4
25,175000,MORTGAGE,10,HOMEIMPROVEMENT,A,8000,7.9,0,0.05,N,2
22,175000,MORTGAGE,6,EDUCATION,B,18000,,0,0.1,N,2
23,175000,MORTGAGE,8,PERSONAL,B,21000,11.99,0,0.12,N,3
23,15000,OWN,4,DEBTCONSOLIDATION,C,4000,13.98,1,0.27,N,4
23,15000,OWN,4,VENTURE,B,4600,10.99,1,0.31,N,2
22,88000,RENT,6,DEBTCONSOLIDATION,D,25000,15.58,1,0.28,Y,2
25,74800,RENT,2,MEDICAL,B,25000,10.99,1,0.28,N,2
25,88000,RENT,0,VENTURE,D,25000,14.96,1,0.28,N,4
25,15000,OWN,2,HOMEIMPROVEMENT,D,1750,15.31,0,0.12,Y,4
26,88000,RENT,2,VENTURE,D,25000,15.65,1,0.28,N,3
25,100000,RENT,1,VENTURE,B,25000,9.33,0,0.25,N,4
23,15000,MORTGAGE,0,PERSONAL,C,3600,13.47,1,0.24,N,4
24,102400,RENT,8,PERSONAL,B,25000,10.36,0,0.24,N,3
24,92000,RENT,1,HOMEIMPROVEMENT,E,25000,16.77,1,0.27,Y,4
23,93000,RENT,0,DEBTCONSOLIDATION,D,25000,14.59,1,0.27,Y,2
22,175000,RENT,6,VENTURE,C,3500,11.91,0,0.02,Y,2
23,175000,MORTGAGE,3,EDUCATION,A,7200,8.38,0,0.04,N,3
25,174708,RENT,9,VENTURE,B,9000,10.59,0,0.05,N,3
25,174000,MORTGAGE,2,DEBTCONSOLIDATION,C,8800,14.27,0,0.05,N,3
26,174000,RENT,8,DEBTCONSOLIDATION,B,12000,12.53,0,0.07,N,4
25,162000,MORTGAGE,5,DEBTCONSOLIDATION,E,25000,16,1,0.15,Y,3
26,173467,MORTGAGE,10,VENTURE,B,10000,11.71,0,0.06,N,4
21,15000,OWN,0,HOMEIMPROVEMENT,C,3175,11.54,1,0.21,Y,3
25,96000,RENT,2,HOMEIMPROVEMENT,E,25000,15.68,1,0.26,Y,4
21,15120,MORTGAGE,0,EDUCATION,B,1500,10.59,0,0.1,N,2
24,97908,RENT,8,HOMEIMPROVEMENT,D,25000,12.61,1,0.26,Y,2
26,110000,RENT,3,PERSONAL,C,25000,,0,0.23,Y,2
23,15204,MORTGAGE,7,PERSONAL,A,2800,8.49,1,0.18,N,3
25,159600,RENT,0,PERSONAL,D,30000,17.27,1,0.19,Y,4
24,171500,RENT,6,DEBTCONSOLIDATION,A,18000,8.9,0,0.1,N,4
25,170004,MORTGAGE,3,MEDICAL,B,10000,11.11,0,0.06,N,4
24,158004,RENT,0,HOMEIMPROVEMENT,D,25000,14.59,1,0.16,Y,2
26,170000,RENT,0,VENTURE,B,13000,12.42,0,0.08,N,3
24,83300,RENT,0,MEDICAL,D,25000,,1,0.26,N,2
24,110000,RENT,7,HOMEIMPROVEMENT,D,25000,15.7,0,0.23,Y,2
22,15360,OWN,7,HOMEIMPROVEMENT,B,2500,12.53,1,0.16,N,3
25,134300,RENT,3,MEDICAL,D,5000,16.49,1,0.03,N,2
25,170000,MORTGAGE,2,EDUCATION,A,20000,7.49,0,0.12,N,2
22,100580,RENT,6,DEBTCONSOLIDATION,D,25000,14.96,1,0.25,Y,2
25,113000,RENT,7,MEDICAL,C,25000,12.73,0,0.22,Y,4
24,120000,RENT,8,EDUCATION,B,25000,10.65,0,0.21,N,4
25,120000,RENT,6,MEDICAL,B,25000,10.74,0,0.21,N,2
23,120000,RENT,7,EDUCATION,B,25000,9.99,0,0.21,N,2
24,91800,RENT,5,MEDICAL,D,25000,15.33,1,0.23,Y,2
21,15600,OWN,5,VENTURE,A,1000,7.29,0,0.06,N,4
26,108000,RENT,2,PERSONAL,D,25000,15.05,1,0.23,N,3
26,129996,RENT,6,PERSONAL,B,25000,10.75,0,0.19,N,3
